Row,Column
1,203
2,201
2,202
2,203
3,199
3,200
3,202
4,196
4,197
4,198
4,201
5,179
5,180
5,181
5,182
5,183
5,184
5,185
5,186
5,187
5,188
5,189
5,194
5,195
5,200
6,176
6,177
6,178
6,190
6,191
6,192
6,193
6,199
7,173
7,174
7,175
7,199
8,169
8,170
8,171
8,172
8,197
8,198
9,166
9,167
9,168
9,192
9,193
9,194
9,195
9,196
10,166
10,188
10,189
10,190
10,191
11,166
11,185
11,186
11,187
12,167
12,184
13,167
13,184
14,168
14,184
15,169
15,184
16,169
16,183
17,170
17,183
18,170
18,183
19,171
19,183
20,172
20,182
21,169
21,170
21,171
21,182
22,166
22,167
22,168
22,183
22,184
22,185
22,186
23,165
23,187
23,188
23,189
24,165
24,189
25,165
25,190
26,165
26,190
27,165
27,191
28,166
28,191
29,166
29,190
30,166
30,190
31,166
31,189
32,166
32,189
33,167
33,188
34,167
34,188
35,167
35,187
36,167
36,186
37,167
37,186
38,166
38,185
39,165
39,184
40,164
40,183
41,163
41,183
42,162
42,182
43,161
43,182
43,207
44,160
44,183
44,184
44,206
44,207
45,159
45,185
45,186
45,205
45,207
46,159
46,187
46,188
46,204
46,207
47,158
47,189
47,190
47,202
47,203
47,207
48,157
48,191
48,192
48,193
48,194
48,195
48,196
48,197
48,198
48,199
48,200
48,201
48,207
49,156
49,208
50,155
50,208
51,155
51,208
52,156
52,208
53,157
53,209
53,210
53,211
53,212
54,158
54,213
54,214
54,215
55,158
55,216
56,159
56,216
57,160
57,216
58,160
58,217
58,256
58,257
59,161
59,217
59,255
59,258
59,259
60,161
60,217
60,243
60,244
60,245
60,254
60,260
60,261
61,161
61,218
61,219
61,241
61,242
61,246
61,247
61,254
61,262
61,263
62,161
62,220
62,221
62,239
62,240
62,248
62,253
62,264
63,161
63,222
63,237
63,238
63,249
63,252
63,264
64,161
64,223
64,224
64,234
64,235
64,236
64,250
64,251
64,264
65,161
65,225
65,226
65,232
65,233
65,264
66,161
66,227
66,228
66,230
66,231
66,265
67,161
67,229
67,265
68,161
68,265
69,161
69,265
69,284
69,285
69,286
69,287
69,288
69,289
69,290
69,291
69,292
69,293
69,294
69,295
69,296
69,297
69,298
69,299
69,300
70,161
70,266
70,267
70,268
70,269
70,270
70,271
70,272
70,273
70,274
70,275
70,276
70,277
70,278
70,279
70,280
70,281
70,282
70,283
70,299
71,161
71,298
72,161
72,297
73,161
73,296
74,161
74,295
75,161
75,294
76,161
76,293
77,158
77,159
77,160
77,292
78,156
78,157
78,291
79,153
79,154
79,155
79,291
80,150
80,151
80,152
80,290
81,150
81,289
82,149
82,288
83,149
83,287
84,148
84,286
85,148
85,285
86,148
86,284
87,148
87,283
88,149
88,282
89,149
89,281
90,150
90,282
90,283
90,284
90,285
90,286
91,150
91,287
91,288
91,289
91,290
91,291
92,151
92,292
92,293
92,294
