0,1,2,3,4,5,6,7
602,751,594,788,901,150,411,172
597,802,601,825,923,101,351,168
597,862,613,870,950,93,282,198
452,286,419,367,471,371,492,339
385,273,356,339,436,284,406,253
289,323,277,350,416,116,243,96
552,701,541,734,846,142,400,128
538,757,541,772,865,59,321,109
537,818,554,818,892,41,246,148
561,889,590,878,936,122,194,221
580,953,621,929,971,204,151,294
308,511,332,494,508,143,79,186
475,285,439,371,478,408,527,374
438,263,403,345,450,370,488,336
408,260,375,335,437,327,446,293
369,249,338,316,413,284,403,250
343,259,315,316,407,241,361,208
315,271,292,317,400,198,319,166
291,287,272,322,397,156,277,125
264,302,250,325,390,113,233,82
498,657,486,683,791,143,383,87
482,717,485,724,811,61,300,54
481,781,500,772,840,43,219,114
495,847,527,825,875,119,146,193
523,918,567,885,918,204,91,276
541,972,595,928,945,280,79,347
455,251,417,339,446,408,523,371
423,236,387,320,426,372,487,335
387,224,352,302,405,329,444,292
352,221,319,289,387,287,401,249
318,225,288,282,374,244,358,206
288,237,261,281,365,202,315,163
261,255,240,287,361,161,273,121
477,560,447,598,724,241,460,156
444,616,430,633,736,164,375,70
426,679,429,677,758,101,289,16
425,746,446,728,788,91,204,102
441,816,476,784,826,144,121,186
477,900,527,856,878,230,36,284
438,220,399,309,417,411,521,370
410,210,372,296,403,376,487,336
372,197,336,276,380,334,444,293
335,193,301,261,361,292,401,250
300,197,268,254,347,251,358,208
268,211,239,253,337,210,315,165
239,232,215,260,333,171,273,124
428,517,394,546,668,266,460,167
391,577,374,584,681,199,374,92
371,644,374,631,705,151,289,62
369,715,392,686,738,145,203,118
387,787,427,745,777,183,120,195
427,872,481,819,831,255,34,288
804,374,726,549,765,773,985,687
719,340,643,501,712,683,891,595
642,330,569,470,672,601,806,511
284,170,250,226,320,260,360,214
249,186,218,225,309,221,317,173
218,209,191,232,305,184,276,134
381,476,342,494,612,300,467,194
339,542,319,536,627,242,382,135
157,306,159,293,326,102,149,58
157,343,170,323,343,100,109,77
167,380,189,354,365,114,71,109
378,845,437,782,784,287,86,301
845,372,764,553,769,843,1049,755
777,322,696,500,716,782,983,691
348,143,308,226,332,350,449,304
308,137,270,208,310,311,406,263
270,143,233,198,293,272,364,223
233,162,199,197,282,235,322,184
199,188,169,205,277,201,281,148
337,439,291,444,557,339,480,232
144,254,132,245,286,145,199,92
130,292,131,273,300,129,159,86
129,330,144,304,319,128,122,99
135,366,161,333,336,146,96,131
165,406,195,371,368,156,68,154
826,322,742,505,721,865,1059,772
760,276,677,457,673,802,993,707
339,116,298,202,309,361,454,313
298,109,258,182,286,323,412,273
258,117,219,170,267,286,370,235
219,139,182,169,255,251,329,198
365,337,298,358,498,439,579,332
297,407,242,395,501,383,499,276
120,241,104,223,259,170,210,119
102,280,103,253,274,157,173,114
102,323,122,290,297,156,137,126
826,297,740,479,693,897,1083,801
747,234,662,417,633,825,1005,727
331,91,289,179,287,374,461,324
290,81,248,156,262,337,420,286
248,92,207,143,241,302,379,250
207,118,168,142,227,269,338,216
338,304,263,306,442,480,600,373
262,380,198,349,446,430,523,324
196,459,154,405,465,391,449,292
151,540,153,471,499,369,381,284
151,631,199,549,549,368,316,304
830,281,743,458,667,933,1109,835
369,99,326,190,297,426,510,376
326,66,283,157,265,389,469,338
284,52,241,131,238,354,429,302
241,68,199,114,215,320,389,267
199,101,157,113,199,290,350,236
158,139,117,127,192,263,313,209
236,359,159,304,388,480,553,375
79,221,50,184,205,223,242,174
98,526,98,439,448,427,421,342
97,618,161,522,503,425,364,359
446,166,402,249,349,506,593,457
409,129,365,212,314,477,559,426
367,88,323,174,279,441,520,390
324,47,280,138,245,406,480,353
281,23,237,107,215,372,440,319
238,49,194,86,190,340,402,287
195,89,151,84,172,311,364,258
153,131,110,102,163,287,328,233
110,173,67,132,165,266,293,214
68,216,28,167,178,250,261,203
55,518,51,412,400,485,465,400
25,303,66,248,229,241,208,206
447,165,403,238,331,529,608,478
409,127,365,203,300,492,569,440
367,85,323,163,264,457,530,405
324,42,280,123,228,423,491,370
281,5,237,87,195,391,453,337
238,44,194,60,166,361,415,307
195,87,151,57,145,334,379,280
153,129,109,81,135,310,345,258
110,172,67,116,138,291,312,240
136,430,51,312,306,555,563,461
55,516,46,393,355,540,510,456
25,303,66,240,210,269,233,234
419,138,375,205,296,514,587,462
369,91,325,156,250,474,542,421
326,53,282,114,212,441,504,388
284,33,240,73,177,410,466,357
241,55,198,36,145,382,430,328
199,93,156,32,120,356,395,303
158,133,116,65,107,335,362,283
117,175,77,106,111,317,331,267
79,217,46,148,129,305,303,258
48,260,44,190,157,298,279,256
46,303,75,234,192,297,259,261
421,148,377,202,285,531,599,479
374,107,330,154,239,495,557,441
331,74,288,111,200,461,518,407
289,61,246,68,161,431,481,377
248,75,205,25,125,404,446,350
207,106,165,18,96,380,412,327
168,142,128,60,80,360,381,308
130,182,94,103,84,344,352,294
96,223,71,146,107,332,325,286
74,265,70,189,140,326,303,284
145,614,185,464,355,650,570,577
341,99,298,117,193,483,535,429
297,89,255,73,149,453,497,399
257,99,216,38,110,427,463,373
218,124,178,34,75,404,431,352
181,156,145,66,52,385,401,334
147,193,116,107,59,370,374,321
118,232,98,148,89,359,349,313
100,272,98,191,126,354,328,312
218,629,244,466,324,726,643,651
346,123,305,123,184,501,548,447
307,117,267,88,142,475,514,421
269,125,230,62,100,450,482,397
232,145,195,59,59,429,451,377
198,174,165,82,26,411,422,360
167,208,140,117,37,397,396,348
142,244,126,156,76,387,373,341
127,287,126,202,123,381,351,340
354,158,314,138,174,525,564,471
320,145,281,108,141,497,532,444
283,151,246,88,98,474,501,421
248,169,214,86,55,454,471,402
219,196,189,106,15,440,447,390
189,224,165,133,30,424,419,376
167,259,153,168,73,414,397,369
311,595,307,418,236,819,757,736
340,174,303,135,150,525,556,471
304,186,270,123,106,506,527,453
268,200,237,121,64,483,494,432
351,203,315,157,153,546,572,492
373,237,340,189,171,575,597,523
