,,,,,,,,,∑Áœ’µ»º∂,id
112.952246,24.688057,1165.279891,52.93282609,19.97255435,0.397013618,1,0.485365098,0.627459572,1,1
112.965083,24.688057,1128.894022,50.56380435,20.54891304,0.286367092,0.728695198,0.579285303,0.531449198,1,2
112.97792,24.688057,1094.763587,50.82456522,21.13940217,0.182579163,0.75855802,0.675508126,0.53888177,1,3
112.862387,24.696527,1107.192935,44.49815217,21.23913043,0.220375818,0.034045361,0.691759288,0.315393489,0,4
112.888061,24.696527,1279.44837,44.34445652,18.25923913,0.744190851,0.016443847,0.206172785,0.322269161,0,5
112.939409,24.696527,1223.777174,51.29836957,19.05869565,0.574899187,0.812818981,0.33644777,0.574721979,1,6
112.952246,24.696527,1186.605978,49.54423913,19.63396739,0.461864547,0.611932681,0.430190852,0.50132936,0,7
112.965083,24.696527,1128.084239,47.73717391,20.5423913,0.283904608,0.404984191,0.578222557,0.422370452,0,8
112.97792,24.696527,1094.763587,49.71065217,21.13940217,0.182579163,0.630990614,0.675508126,0.496359301,0,9
112.990757,24.696527,1087.853261,48.37054348,21.28206522,0.161565413,0.477518859,0.698755701,0.445946658,0,10
113.003594,24.696527,1084.8125,49.23728261,21.28097826,0.152318702,0.576779446,0.698578577,0.475892241,0,11
113.016431,24.696527,1081.913043,48.93684783,21.31793478,0.143501686,0.542373092,0.704600806,0.463491861,0,12
112.84955,24.704997,1092.978261,44.20086957,21.63451087,0.177150129,0,0.756188283,0.311112804,0,13
112.862387,24.704997,1104.695652,44.36130435,21.35027174,0.212781781,0.018373292,0.709870256,0.31367511,0,14
112.875224,24.704997,1179.220109,44.31869565,19.82934783,0.439404707,0.013493664,0.46202896,0.304975777,0,15
112.888061,24.704997,1252.55163,44.52195652,18.67173913,0.662400013,0.036771479,0.273391489,0.32418766,0,16
112.900898,24.704997,1363.570652,44.89130435,16.99402174,1,0.079069883,0,0.359689961,0,17
112.913735,24.704997,1321.660326,45.80065217,17.58695652,0.872554042,0.183210098,0.096621352,0.384128498,0,18
112.926572,24.704997,1262.459239,46.6773913,18.47880435,0.692528261,0.283615904,0.241951911,0.406032025,0,19
112.939409,24.704997,1233.896739,49.9251087,18.89375,0.605671977,0.655550576,0.309569145,0.523597233,1,20
112.952246,24.704997,1190.355978,49.2176087,19.57309783,0.473267998,0.574526352,0.420271886,0.489355412,0,21
