region_id,depot_id,task_row,task_col
1,6,561,404
2,6,564,441
3,6,564,486
4,4,530,97
5,4,530,184
6,6,533,352
7,6,534,398
8,6,534,441
9,6,534,484
10,6,540,526
11,6,537,569
12,1,538,610
13,4,515,60
14,4,506,98
15,4,514,141
16,4,506,184
17,6,513,227
18,6,514,270
19,6,514,312
20,6,506,355
21,6,506,398
22,6,506,441
23,6,506,484
24,6,506,526
25,1,506,569
26,1,497,606
27,4,478,62
28,4,478,98
29,4,478,141
30,4,478,184
31,6,478,227
32,6,478,270
33,6,478,312
34,6,478,355
35,6,478,398
36,6,478,441
37,6,478,484
38,1,478,526
39,1,478,575
40,4,443,64
41,4,450,98
42,4,450,141
43,4,450,184
44,6,450,227
45,6,450,270
46,6,450,312
47,6,450,355
48,6,450,398
49,6,450,441
50,1,450,484
51,1,450,526
52,1,450,574
53,4,422,94
54,4,422,141
55,4,422,184
56,4,422,227
57,6,422,270
58,6,422,312
59,6,422,355
60,6,422,398
61,1,422,441
62,1,422,484
63,1,422,526
64,1,422,572
65,4,400,64
66,4,394,98
67,4,394,141
68,4,394,184
69,4,394,227
70,6,394,270
71,6,394,312
72,6,394,355
73,1,394,398
74,1,394,441
75,1,394,484
76,1,387,526
77,1,398,564
78,4,366,64
79,4,366,98
80,4,366,141
81,4,366,184
82,4,366,227
83,6,366,270
84,6,366,312
85,6,366,355
86,1,366,398
87,1,366,441
88,1,366,488
89,3,338,58
90,4,338,98
91,4,338,141
92,4,338,184
93,4,338,227
94,6,338,270
95,6,338,312
96,1,338,355
97,1,338,398
98,1,338,441
99,1,338,488
100,3,309,52
101,3,309,98
102,4,309,141
103,4,309,184
104,4,309,227
105,6,309,270
106,1,309,312
107,1,309,355
108,1,309,398
109,1,309,441
110,1,309,488
111,3,286,19
112,3,280,56
113,3,280,98
114,2,280,141
115,5,280,184
116,5,280,227
117,5,280,270
118,1,280,312
119,1,280,355
120,1,280,398
121,1,280,441
122,1,280,486
123,3,242,18
124,3,252,56
125,2,252,98
126,2,252,141
127,5,252,184
128,5,252,227
129,5,252,270
130,1,252,312
131,1,252,355
132,1,252,398
133,1,252,441
134,1,252,486
135,2,224,48
136,2,224,98
137,2,224,141
138,5,224,184
139,5,224,227
140,5,224,270
141,5,224,312
142,1,224,355
143,1,224,398
144,1,224,441
145,1,224,485
146,2,192,50
147,2,192,98
148,2,196,141
149,5,196,184
150,5,196,227
151,5,196,270
152,5,196,312
153,1,196,355
154,1,196,398
155,1,196,441
156,1,196,484
157,5,168,138
158,5,168,184
159,5,168,227
160,5,168,270
161,5,168,312
162,1,168,355
163,1,168,398
164,1,168,441
165,1,158,482
166,5,140,142
167,5,140,184
168,5,140,227
169,5,140,270
170,5,140,312
171,5,140,355
172,1,140,398
173,1,140,446
174,5,102,151
175,5,112,184
176,5,112,227
177,5,112,270
178,5,109,312
179,5,112,355
180,1,112,398
181,1,112,443
182,5,83,178
183,5,76,227
184,5,78,274
185,5,54,185
186,5,20,184
