region_id,depot_id,task_row,task_col
1,3,561,404
2,3,564,441
3,3,564,486
4,5,530,97
5,6,530,184
6,3,533,352
7,3,534,398
8,3,534,441
9,3,534,484
10,3,540,526
11,3,537,569
12,3,538,610
13,5,515,60
14,5,506,98
15,5,514,141
16,6,506,184
17,6,513,227
18,6,514,270
19,6,514,312
20,3,506,355
21,3,506,398
22,3,506,441
23,3,506,484
24,3,506,526
25,3,506,569
26,3,497,606
27,5,478,62
28,5,478,98
29,5,478,141
30,6,478,184
31,6,478,227
32,6,478,270
33,6,478,312
34,3,478,355
35,3,478,398
36,3,478,441
37,3,478,484
38,3,478,526
39,3,478,575
40,5,443,64
41,5,450,98
42,5,450,141
43,6,450,184
44,6,450,227
45,6,450,270
46,6,450,312
47,3,450,355
48,3,450,398
49,3,450,441
50,3,450,484
51,3,450,526
52,3,450,574
53,5,422,94
54,5,422,141
55,6,422,184
56,6,422,227
57,6,422,270
58,6,422,312
59,6,422,355
60,4,422,398
61,3,422,441
62,3,422,484
63,3,422,526
64,3,422,572
65,5,400,64
66,5,394,98
67,5,394,141
68,6,394,184
69,6,394,227
70,6,394,270
71,6,394,312
72,4,394,355
73,4,394,398
74,4,394,441
75,4,394,484
76,4,387,526
77,4,398,564
78,5,366,64
79,5,366,98
80,5,366,141
81,6,366,184
82,6,366,227
83,6,366,270
84,1,366,312
85,1,366,355
86,4,366,398
87,4,366,441
88,4,366,488
89,5,338,58
90,5,338,98
91,5,338,141
92,6,338,184
93,6,338,227
94,1,338,270
95,1,338,312
96,1,338,355
97,4,338,398
98,4,338,441
99,4,338,488
100,5,309,52
101,5,309,98
102,5,309,141
103,6,309,184
104,1,309,227
105,1,309,270
106,1,309,312
107,1,309,355
108,4,309,398
109,4,309,441
110,4,309,488
111,5,286,19
112,5,280,56
113,5,280,98
114,5,280,141
115,1,280,184
116,1,280,227
117,1,280,270
118,1,280,312
119,1,280,355
120,4,280,398
121,4,280,441
122,4,280,486
123,5,242,18
124,5,252,56
125,5,252,98
126,1,252,141
127,1,252,184
128,1,252,227
129,1,252,270
130,1,252,312
131,1,252,355
132,4,252,398
133,4,252,441
134,4,252,486
135,5,224,48
136,5,224,98
137,1,224,141
138,1,224,184
139,1,224,227
140,1,224,270
141,1,224,312
142,1,224,355
143,4,224,398
144,4,224,441
145,4,224,485
146,5,192,50
147,1,192,98
148,1,196,141
149,1,196,184
150,1,196,227
151,1,196,270
152,1,196,312
153,1,196,355
154,1,196,398
155,4,196,441
156,4,196,484
157,2,168,138
158,2,168,184
159,2,168,227
160,2,168,270
161,2,168,312
162,2,168,355
163,2,168,398
164,4,168,441
165,4,158,482
166,2,140,142
167,2,140,184
168,2,140,227
169,2,140,270
170,2,140,312
171,2,140,355
172,2,140,398
173,2,140,446
174,2,102,151
175,2,112,184
176,2,112,227
177,2,112,270
178,2,109,312
179,2,112,355
180,2,112,398
181,2,112,443
182,2,83,178
183,2,76,227
184,2,78,274
185,2,54,185
186,2,20,184
