id,angle,length,no_rotated,90_rotated,time
1,88,156249.77919464128,157172.76857450267,156770.39794535274,24567.727821974593
2,90,286675.37817819504,298124.51022470597,286675.37817819504,21601.087922035727
3,45,241400.91143538815,247079.23454281167,242399.0681756961,17975.96007875185
4,90,274033.9235540721,276669.8468524852,274033.9235540721,6807.529251226895
5,55,222699.26571699284,228544.97961031928,224417.80034738808,49444.89046581704
6,90,233947.57551482672,246681.09010246815,233947.57551482672,35808.439730652375
7,90,334053.3213930193,337649.5292279842,334053.3213930193,49736.809635952464
8,90,339359.58616830857,342449.5499999943,339359.58616830857,34655.35089910364
9,90,338622.21116830787,340872.19999999396,338622.21116830787,26455.094584343246
10,45,334335.80753543274,343784.7539543576,337088.3520671503,22024.35305012116
11,89,349190.9299640037,351914.58892540645,349242.32100493734,35851.61947962793
12,45,300038.4873406974,300616.4142975424,311344.4005163914,17771.372126347494
13,178,348253.3915905939,349410.98823546397,348783.8923609263,29547.641492364633
14,135,329924.606707767,331792.2499999928,330879.361168308,14311.86414870647
15,1,455539.5191629109,456367.38934650674,456954.9857395305,67625.08134033185
16,135,341270.49836447573,346619.5999999958,343241.68616831006,56230.041595526716
17,90,466719.682173251,479655.76002791297,466719.682173251,75021.44884877939
18,0,500543.41063407727,500543.41063407727,501133.59999999305,59218.948684815405
19,45,450237.9670435126,454376.84935266804,454150.52388894965,67320.51495733667
20,0,341976.3999999956,341976.3999999956,345992.4861683103,49690.2412093796
21,0,344447.79999999626,344447.79999999626,345788.71116831066,64715.31639210267
22,1,342424.21369659767,342525.2999999958,343293.96116830973,45199.46490876519
23,90,339358.2611683093,340629.79999999364,339358.2611683093,25916.82987999374
24,45,330314.8893438247,334352.6499999932,332850.6611683079,33440.79045442488
25,90,338712.76116830786,339200.92499999324,338712.76116830786,20461.809674623026
26,178,265514.6887891794,265789.24424447876,269111.8950611493,3956.478069625231
27,45,226063.18468821727,228108.32499999725,228864.97943701252,13989.318281026
28,135,330533.7542372788,333886.8999999936,332584.2111683079,36652.713025051926
29,90,344854.51116830955,345420.24999999447,344854.51116830955,54920.82128357872
30,1,341068.97058453236,341487.2999999959,347010.93616831006,50147.12988838168
31,90,342413.98616831034,344990.699999996,342413.98616831034,77564.44257360489
32,90,339746.61116831045,343783.07499999617,339746.61116831045,41911.79487520436
33,135,333921.8703667968,335637.69999999553,335547.5111683104,45613.83037266838
34,90,341081.3861683103,343897.449999996,341081.3861683103,41459.6179089928
35,90,343694.6361683106,347726.174999996,343694.6361683106,62204.75450358653
36,1,342103.80325519893,342321.7249999958,345951.31116831006,43762.53949811381
37,0,341353.0749999951,341353.0749999951,343229.6861683105,38375.910907230245
38,45,329226.8164066649,331691.14999999333,331913.761168308,23380.461507058055
39,45,385850.96014978964,389293.9410662731,389214.2077835394,5267.592230111515
40,2,261365.87638203026,261389.55223459288,263190.0983382795,40910.08708433847
41,90,333877.11116830795,337571.1999999937,333877.11116830795,61677.464891366544
42,90,343181.0861683102,346420.8499999959,343181.0861683102,76482.9661251806
43,135,341370.8968796988,347210.5749999963,343219.7611683106,54316.126581681005
44,90,345554.8611683103,348216.7999999964,345554.8611683103,58993.15202501286
45,135,341883.2519360906,346057.2249999964,344322.91116831056,62670.65920434385
46,135,337282.30076305155,341116.94999999646,339910.5111683103,61208.59360471636
47,2,343548.62358476006,344810.64999999583,348305.3611683104,54157.38434265663
