region_id,task_row,task_col
1,561,404
2,564,441
3,564,486
4,530,97
5,530,184
6,533,352
7,534,398
8,534,441
9,534,484
10,540,526
11,537,569
12,538,610
13,515,60
14,506,98
15,514,141
16,506,184
17,513,227
18,514,270
19,514,312
20,506,355
21,506,398
22,506,441
23,506,484
24,506,526
25,506,569
26,497,606
27,478,62
28,478,98
29,478,141
30,478,184
31,478,227
32,478,270
33,478,312
34,478,355
35,478,398
36,478,441
37,478,484
38,478,526
39,478,575
40,443,64
41,450,98
42,450,141
43,450,184
44,450,227
45,450,270
46,450,312
47,450,355
48,450,398
49,450,441
50,450,484
51,450,526
52,450,574
53,422,94
54,422,141
55,422,184
56,422,227
57,422,270
58,422,312
59,422,355
60,422,398
61,422,441
62,422,484
63,422,526
64,422,572
65,400,64
66,394,98
67,394,141
68,394,184
69,394,227
70,394,270
71,394,312
72,394,355
73,394,398
74,394,441
75,394,484
76,387,526
77,398,564
78,366,64
79,366,98
80,366,141
81,366,184
82,366,227
83,366,270
84,366,312
85,366,355
86,366,398
87,366,441
88,366,488
89,338,58
90,338,98
91,338,141
92,338,184
93,338,227
94,338,270
95,338,312
96,338,355
97,338,398
98,338,441
99,338,488
100,309,52
101,309,98
102,309,141
103,309,184
104,309,227
105,309,270
106,309,312
107,309,355
108,309,398
109,309,441
110,309,488
111,286,19
112,280,56
113,280,98
114,280,141
115,280,184
116,280,227
117,280,270
118,280,312
119,280,355
120,280,398
121,280,441
122,280,486
123,242,18
124,252,56
125,252,98
126,252,141
127,252,184
128,252,227
129,252,270
130,252,312
131,252,355
132,252,398
133,252,441
134,252,486
135,224,48
136,224,98
137,224,141
138,224,184
139,224,227
140,224,270
141,224,312
142,224,355
143,224,398
144,224,441
145,224,485
146,192,50
147,192,98
148,196,141
149,196,184
150,196,227
151,196,270
152,196,312
153,196,355
154,196,398
155,196,441
156,196,484
157,168,138
158,168,184
159,168,227
160,168,270
161,168,312
162,168,355
163,168,398
164,168,441
165,158,482
166,140,142
167,140,184
168,140,227
169,140,270
170,140,312
171,140,355
172,140,398
173,140,446
174,102,151
175,112,184
176,112,227
177,112,270
178,109,312
179,112,355
180,112,398
181,112,443
182,83,178
183,76,227
184,78,274
185,54,185
186,20,184
