,,,,,,,,,∑Áœ’µ»º∂,id
112.952246,24.688057,621.778125,66.9655,9.035625,0.502745534,0.741545365,0.503942139,0.582744346,1,1
112.965083,24.688057,609.7125,67.494125,9.48125,0.368561896,0.799400788,0.596859321,0.588274002,1,2
112.97792,24.688057,598.63125,66.613625,9.92875,0.245325641,0.703034366,0.690167459,0.546175822,1,3
112.862387,24.696527,610.240625,63.108625,10.11875,0.374435254,0.319429244,0.729784323,0.474549607,0,4
112.888061,24.696527,649.053125,64.061875,7.6984375,0.806074929,0.423757798,0.225125432,0.484986053,0,5
112.939409,24.696527,634.834375,65.127875,8.325,0.647946062,0.540426289,0.355769857,0.514714069,0,6
112.952246,24.696527,628.04375,66.7565,8.769375,0.572426496,0.718671336,0.448426403,0.579841412,1,7
112.965083,24.696527,611.421875,66.19025,9.4653125,0.387572114,0.656698041,0.593536196,0.54593545,1,8
112.97792,24.696527,598.63125,66.73225,9.92875,0.245325641,0.716017292,0.690167459,0.550503464,1,9
112.990757,24.696527,597.321875,66.986375,9.99375,0.230763884,0.743830032,0.703720597,0.559438171,1,10
113.003594,24.696527,594.690625,67.427875,9.94875,0.201501355,0.792150049,0.694337656,0.56266302,1,11
113.016431,24.696527,592.690625,66.426375,9.9515625,0.179259053,0.682540768,0.694924089,0.51890797,0,12
112.84955,24.704997,603.45,63.75875,10.39375,0.298915688,0.390582248,0.787124519,0.492207485,0,13
112.862387,24.704997,608.7625,63.252625,10.199375,0.357996803,0.33518934,0.746595426,0.47992719,0,14
112.875224,24.704997,627.675,63.327375,8.9865625,0.568325572,0.343370362,0.493712126,0.468469353,0,15
112.888061,24.704997,643.109375,63.757625,8.0459375,0.739973587,0.390459122,0.297582589,0.4760051,0,16
112.900898,24.704997,664.8625,63.703375,6.61875,0.981893376,0.384521725,0,0.4554717,0,17
112.913735,24.704997,653.10625,64.22275,7.1253125,0.851150344,0.441364781,0.105623249,0.466046124,0,18
112.926572,24.704997,641.846875,64.81025,7.8378125,0.725933134,0.505663785,0.254186486,0.495261135,0,19
112.939409,24.704997,637.509375,65.506375,8.1928125,0.677695141,0.581851264,0.328207467,0.529251291,0,20
112.952246,24.704997,629.04375,67.88075,8.7178125,0.583547647,0.841715005,0.437675116,0.620979256,1,21
112.965083,24.704997,613.3625,68.1815,9.27625,0.409154097,0.874630623,0.554114811,0.612633177,1,22
112.97792,24.704997,603.284375,68.465125,9.730625,0.297073747,0.905671993,0.648856454,0.617200731,1,23
112.990757,24.704997,599.7625,69.327,9.869375,0.257906443,1,0.67778719,0.645231211,1,24
113.003594,24.704997,594.690625,68.78175,9.94875,0.201501355,0.940325052,0.694337656,0.612054688,1,25
113.016431,24.704997,592.690625,68.383375,9.9515625,0.179259053,0.896724855,0.694924089,0.590302666,1,26
112.84955,24.713467,607.99375,63.011,10.0753125,0.349447418,0.308744665,0.720727178,0.459639753,0,27
112.862387,24.713467,619.95,63.234,9.4509375,0.48241468,0.333150925,0.590538868,0.468701491,0,28
112.875224,24.713467,644.521875,63.21925,7.83875,0.755682213,0.331536609,0.254381964,0.447200262,0,29
112.888061,24.713467,654.05625,63.348,7.266875,0.861715438,0.345627668,0.135140418,0.447494508,0,30
112.900898,24.713467,661.0625,63.39475,6.6459375,0.939633002,0.350744227,0.00566886,0.432015363,0,31
112.913735,24.713467,650.090625,63.8375,7.188125,0.817613123,0.399201051,0.118720271,0.445178148,0,32
112.926572,24.713467,642.75,65.341375,7.7371875,0.735976924,0.56379282,0.233205187,0.510991644,0,33
112.939409,24.713467,637.9625,67.240625,8.118125,0.682734413,0.771656452,0.312634391,0.589008419,1,34
112.952246,24.713467,627.94375,68.879125,8.65375,0.571314381,0.95098227,0.424317456,0.648871369,1,35
112.965083,24.713467,613.15,69.038125,9.22875,0.406790853,0.968384043,0.544210595,0.639795164,1,36
112.97792,24.713467,606.521875,67.112625,9.5590625,0.333078474,0.757647477,0.61308399,0.567936647,1,37
112.990757,24.713467,603.346875,67.344375,9.67,0.297768819,0.783011382,0.636215547,0.572331916,1,38
113.003594,24.713467,597.93125,67.662375,9.7853125,0.237540835,0.817814928,0.660259334,0.571871699,1,39
112.84955,24.721937,616.090625,64.85825,9.529375,0.439493988,0.51091715,0.606893855,0.519101664,0,40
112.862387,24.721937,628.578125,64.872875,8.893125,0.578369361,0.512517785,0.474229491,0.521705546,0,41
112.875224,24.721937,648.025,64.867875,7.4834375,0.794640995,0.511970559,0.180295823,0.495635793,0,42
112.888061,24.721937,655.546875,65.058375,6.84,0.878292903,0.532819853,0.046132795,0.485748517,0,43
112.900898,24.721937,655.728125,63.0855,6.7734375,0.880308612,0.316898325,0.032253861,0.409820266,0,44
112.913735,24.721937,648.334375,64.716625,7.283125,0.798081601,0.495416986,0.138528703,0.47734243,0,45
112.926572,24.721937,647.965625,65.1275,7.5265625,0.793980677,0.540385247,0.189287809,0.507884577,0,46
112.939409,24.721937,646.0375,66.12625,7.79625,0.772537708,0.649693554,0.245520297,0.555917186,1,47
112.952246,24.721937,632.55625,68.188625,8.474375,0.62261069,0.875410419,0.38691601,0.628312373,1,48
112.965083,24.721937,620.121875,67.205875,8.93875,0.484326128,0.767853234,0.483742751,0.578640704,1,49
112.97792,24.721937,609.028125,66.616,9.4209375,0.360950858,0.703294298,0.584283573,0.549509577,1,50
112.990757,24.721937,608.4125,68.296,9.473125,0.3541044,0.887162088,0.595165179,0.612143889,1,51
113.003594,24.721937,601.9125,67.8685,9.669375,0.281816918,0.840374302,0.636085228,0.58609215,1,52
112.862387,24.730407,627.834375,67.194625,8.9325,0.570098005,0.766621977,0.482439565,0.606386515,1,53
112.875224,24.730407,644.575,67.083125,7.705625,0.756273024,0.754418846,0.226624096,0.579105322,1,54
112.888061,24.730407,645.596875,66.532125,7.35875,0.76763745,0.694114589,0.154297257,0.538683099,1,55
112.900898,24.730407,646.403125,63.843125,7.2196875,0.776603879,0.399816679,0.125301362,0.433907307,0,56
112.913735,24.730407,639.809375,65.473375,7.69375,0.703273789,0.578239575,0.224148042,0.501887135,0,57
112.926572,24.730407,649.190625,65.316,7.42,0.807604087,0.561015651,0.167068482,0.511896073,0,58
112.939409,24.730407,642.275,66.39175,7.88875,0.730694377,0.678751231,0.264807454,0.558084354,1,59
112.952246,24.730407,634.28125,66.5065,8.405625,0.641794676,0.691310058,0.37258096,0.568561898,1,60
112.965083,24.730407,618.08125,65.294625,8.995625,0.461632029,0.558676261,0.495601746,0.505303346,0,61
112.97792,24.730407,612,65.447,9.283125,0.394001529,0.57535296,0.555548316,0.508300935,0,62
112.990757,24.730407,607.225,65.373875,9.4825,0.340898033,0.567349787,0.597119958,0.501789259,0,63
113.003594,24.730407,600.465625,67.66925,9.6984375,0.265726003,0.818567363,0.642145045,0.57547947,1,64
112.84955,24.738877,603.98125,67.937,9.8665625,0.304823799,0.847871293,0.677200756,0.609965283,1,65
112.862387,24.738877,618.4,68.289125,9.28625,0.465176896,0.886409653,0.556199909,0.635928819,1,66
112.875224,24.738877,630.3,64.515375,8.4371875,0.597518593,0.473391157,0.379162051,0.483357267,0,67
112.888061,24.738877,629.16875,64.73475,8.250625,0.584937791,0.497400679,0.34026194,0.474200137,0,68
112.900898,24.738877,625.3125,62.71125,8.36125,0.542051852,0.275938492,0.363328338,0.393772894,0,69
112.913735,24.738877,631.2,63.66725,8.179375,0.607527629,0.38056802,0.325405617,0.437833755,0,70
112.926572,24.738877,642.815625,65.37975,7.67125,0.736706749,0.567992777,0.219456571,0.508052032,0,71
112.939409,24.738877,646.51875,66.682,7.7028125,0.777889762,0.710517675,0.226037662,0.5714817,1,72
112.952246,24.738877,634.421875,65.408125,8.33375,0.643358588,0.571098282,0.357594318,0.524017062,0,73
112.965083,24.738877,619.46875,64.108,8.9625,0.477062626,0.428805954,0.488694859,0.46485448,0,74
112.97792,24.738877,608.24375,64.834375,9.405,0.352227706,0.508304148,0.580960448,0.480497434,0,75
112.990757,24.738877,603.11875,64.8115,9.6175,0.295231806,0.505800591,0.625268782,0.475433727,0,76
113.003594,24.738877,599.621875,65.912875,9.71625,0.256342531,0.626340703,0.645859126,0.50951412,0,77
112.84955,24.747347,593.778125,67.751,10.295625,0.191353305,0.827514501,0.766664495,0.595177434,1,78
112.862387,24.747347,602.403125,68.418875,9.8121875,0.287273233,0.900610157,0.665863035,0.617915475,1,79
112.875224,24.747347,606.21875,64.16325,9.4346875,0.329707375,0.434852796,0.587150583,0.450570251,0,80
112.888061,24.747347,613.86875,63.324125,9.0371875,0.41478418,0.343014666,0.504267935,0.420688927,0,81
112.900898,24.747347,619.996875,61.957375,8.7621875,0.482935984,0.193430557,0.446927738,0.374431426,0,82
112.913735,24.747347,631.928125,63.3715,8.2396875,0.615625217,0.348199628,0.337981364,0.433935403,0,83
112.926572,24.747347,641.25,66.5625,7.8371875,0.719295197,0.697438984,0.254056167,0.556930116,1,84
112.939409,24.747347,648.6625,66.30625,7.645625,0.801730729,0.669393674,0.214113508,0.56174597,1,85
112.952246,24.747347,639.20625,64.04025,8.2065625,0.696566345,0.421391047,0.331074477,0.483010623,0,86
112.965083,24.747347,623.753125,65.28075,8.905625,0.524709807,0.55715771,0.476835864,0.519567794,0,87
112.97792,24.747347,607.478125,65.759,9.460625,0.343713074,0.609499836,0.592558806,0.515257239,0,88
112.84955,24.755817,580.44375,66.694875,10.89625,0.043059707,0.711926781,0.891900697,0.548962395,1,89
112.862387,24.755817,584.36875,67.4005,10.5403125,0.086710225,0.789153989,0.817684238,0.564516151,1,90
