region_id,depot_id,task_row,task_col
1,4,561,404
2,4,564,441
3,6,564,486
4,4,530,97
5,4,530,184
6,4,533,352
7,4,534,398
8,4,534,441
9,6,534,484
10,6,540,526
11,6,537,569
12,6,538,610
13,2,515,60
14,4,506,98
15,4,514,141
16,4,506,184
17,4,513,227
18,4,514,270
19,4,514,312
20,4,506,355
21,4,506,398
22,6,506,441
23,6,506,484
24,6,506,526
25,6,506,569
26,6,497,606
27,2,478,62
28,4,478,98
29,4,478,141
30,4,478,184
31,4,478,227
32,4,478,270
33,4,478,312
34,4,478,355
35,4,478,398
36,6,478,441
37,6,478,484
38,6,478,526
39,6,478,575
40,2,443,64
41,4,450,98
42,4,450,141
43,4,450,184
44,4,450,227
45,4,450,270
46,4,450,312
47,4,450,355
48,4,450,398
49,6,450,441
50,6,450,484
51,6,450,526
52,6,450,574
53,2,422,94
54,4,422,141
55,4,422,184
56,4,422,227
57,4,422,270
58,4,422,312
59,4,422,355
60,6,422,398
61,6,422,441
62,6,422,484
63,6,422,526
64,6,422,572
65,2,400,64
66,2,394,98
67,4,394,141
68,4,394,184
69,4,394,227
70,4,394,270
71,4,394,312
72,4,394,355
73,6,394,398
74,6,394,441
75,6,394,484
76,6,387,526
77,6,398,564
78,2,366,64
79,2,366,98
80,4,366,141
81,4,366,184
82,4,366,227
83,4,366,270
84,4,366,312
85,6,366,355
86,6,366,398
87,6,366,441
88,6,366,488
89,2,338,58
90,2,338,98
91,4,338,141
92,4,338,184
93,4,338,227
94,4,338,270
95,4,338,312
96,6,338,355
97,6,338,398
98,6,338,441
99,6,338,488
100,2,309,52
101,2,309,98
102,4,309,141
103,4,309,184
104,4,309,227
105,4,309,270
106,4,309,312
107,6,309,355
108,6,309,398
109,6,309,441
110,6,309,488
111,2,286,19
112,2,280,56
113,5,280,98
114,5,280,141
115,3,280,184
116,3,280,227
117,3,280,270
118,6,280,312
119,6,280,355
120,6,280,398
121,6,280,441
122,6,280,486
123,5,242,18
124,5,252,56
125,5,252,98
126,5,252,141
127,3,252,184
128,3,252,227
129,3,252,270
130,6,252,312
131,6,252,355
132,6,252,398
133,6,252,441
134,6,252,486
135,5,224,48
136,5,224,98
137,5,224,141
138,3,224,184
139,3,224,227
140,3,224,270
141,6,224,312
142,6,224,355
143,6,224,398
144,6,224,441
145,6,224,485
146,5,192,50
147,5,192,98
148,5,196,141
149,3,196,184
150,3,196,227
151,1,196,270
152,1,196,312
153,6,196,355
154,6,196,398
155,6,196,441
156,6,196,484
157,5,168,138
158,3,168,184
159,1,168,227
160,1,168,270
161,1,168,312
162,6,168,355
163,6,168,398
164,6,168,441
165,6,158,482
166,5,140,142
167,1,140,184
168,1,140,227
169,1,140,270
170,1,140,312
171,6,140,355
172,6,140,398
173,6,140,446
174,1,102,151
175,1,112,184
176,1,112,227
177,1,112,270
178,1,109,312
179,1,112,355
180,6,112,398
181,6,112,443
182,1,83,178
183,1,76,227
184,1,78,274
185,1,54,185
186,1,20,184
