,id,区域能耗,最佳航向角
0,1,201760.446,0
1,2,377690.8274,88
2,3,315052.2399,86
3,4,358418.8491,94
4,5,288813.207,90
5,6,303737.2639,90
6,7,440522.9342,90
7,8,449191.1892,89
8,9,449152.3147,89
9,10,443974.0271,90
10,11,459779.0936,90
11,12,399885.2034,0
12,13,465562.6172,0
13,14,438023.08,0
14,15,603508.6381,135
15,16,451714.9062,179
16,17,621159.0384,0
17,18,667856.188,90
18,19,592069.9441,45
19,20,451196.217,0
20,21,451420.6405,90
21,22,450845.272,0
22,23,449210.464,0
23,24,439538.748,0
24,25,448883.6793,1
25,26,364215.4438,178
26,27,301850.87,179
27,28,439693.6361,93
28,29,451490.7,0
29,30,451208.131,0
30,31,452741.411,90
31,32,450578.761,0
32,33,440631.987,0
33,34,450575.912,0
34,35,452143.639,90
35,36,450627.712,0
36,37,450267.443,0
37,38,438779.36,0
38,39,514794.884,1
39,40,354695.9169,3
40,41,440487.724,90
41,42,453027.088,90
42,43,451566.587,0
43,44,451874.02,0
44,45,452384.2825,179
45,46,441805.775,0
46,47,451469.721,0
47,48,450738.305,0
48,49,451282.982,0
49,50,451515.305,0
50,51,437365.997,0
51,52,515200.99,0
52,53,509712.877,135
53,54,468185.772,0
54,55,470386.236,0
55,56,469203.3766,90
56,57,467461.608,0
57,58,456245.3133,45
58,59,468879.115,0
59,60,467546.2946,90
60,61,466922.1046,90
61,62,467211.1486,90
62,63,453145.2571,45
63,64,466762.3629,135
64,65,319115.0863,0
65,66,441212.665,0
66,67,451563.738,0
67,68,451152.705,0
68,69,450214.348,0
69,70,450715.772,0
70,71,441689.225,0
71,72,450623.827,0
72,73,452028.643,0
73,74,452368.6278,1
74,75,451007.406,0
75,76,491685.1165,0
76,77,150404.5332,111
77,78,276254.7696,0
78,79,441037.581,0
79,80,450941.102,0
80,81,451204.3457,1
81,82,451184.8723,1
82,83,452631.595,0
83,84,441027.48,0
84,85,451527.219,0
85,86,451119.553,0
86,87,451348.509,0
87,88,510561.5364,0
88,89,287291.6787,0
89,90,441528.6624,92
90,91,453686.3325,1
91,92,451992.2569,1
92,93,452202.95,0
93,94,451166.432,0
94,95,442591.84,0
95,96,453208.647,0
96,97,451230.664,0
97,98,451401.604,0
98,99,524490.7965,0
99,100,494973.8791,0
100,101,454959.4087,135
101,102,469793.8966,90
102,103,468890.77,0
103,104,468137.598,0
104,105,468341.6836,90
105,106,457152.8071,45
106,107,466482.5816,90
107,108,468932.4626,90
108,109,468503.824,0
109,110,520069.562,0
110,111,262787.6611,1
111,112,451270.8976,1
112,113,441431.52,0
113,114,452316.91,0
114,115,451113.337,0
115,116,451817.817,0
116,117,452771.714,0
117,118,441084.46,90
118,119,449728.982,0
119,120,451027.1412,1
120,121,451517.636,0
121,122,491051.423,0
122,123,420833.6657,0
123,124,451211.498,0
124,125,441748.018,0
125,126,453000.67,0
126,127,452199.065,0
127,128,451584.6251,1
128,129,452255.786,0
129,130,441719.269,0
130,131,451139.755,0
131,132,451026.2312,1
132,133,450742.19,0
133,134,469614.55,0
134,135,535922.8503,0
135,136,441571.898,0
136,137,452882.048,0
137,138,451803.572,0
138,139,451081.221,0
139,140,451335.559,0
140,141,440963.766,0
141,142,451099.092,0
142,143,451309.141,0
143,144,451574.357,0
144,145,446988.325,0
145,146,549086.4106,36
146,147,521064.8208,135
147,148,467632.548,0
148,149,468626.59,0
149,150,469180.332,0
150,151,468943.088,0
151,152,456109.0843,135
152,153,467313.7126,90
153,154,467992.817,0
154,155,467793.1216,90
155,156,436799.803,45
156,157,455996.3312,0
157,158,451071.897,0
158,159,451418.957,0
159,160,451503.391,0
160,161,440678.607,0
161,162,451180.6494,1
162,163,451129.136,0
163,164,451578.9944,1
164,165,460210.3677,0
165,166,314798.202,0
166,167,450496.399,0
167,168,451103.495,0
168,169,450813.933,0
169,170,440695.96,0
170,171,450767.054,0
171,172,450751.773,0
172,173,511032.0104,0
173,174,227831.3795,0
174,175,450091.582,0
175,176,452048.327,0
176,177,450160.994,0
177,178,423415.593,90
178,179,426851.9612,90
179,180,451973.14,1
180,181,319651.2016,89
181,182,517981.7634,178
182,183,594442.5386,90
183,184,513841.2019,151
184,185,480105.2773,95
185,186,283955.5749,22
