id,row,col
1,573,419
1,573,390
1,549,419
1,549,390
2,578,462
2,578,420
2,549,462
2,549,420
3,549,510
3,579,463
3,579,510
3,549,463
4,521,66
4,540,66
4,540,128
4,521,128
5,521,155
5,539,214
5,539,155
5,521,214
6,521,327
6,521,376
6,545,327
6,545,376
7,521,377
7,521,419
7,548,377
7,548,419
8,521,420
8,521,462
8,548,420
8,548,462
9,548,505
9,521,463
9,548,463
9,521,505
10,521,547
10,558,547
10,558,506
10,521,506
11,553,590
11,521,548
11,521,590
11,553,548
12,555,591
12,555,629
12,521,591
12,521,629
13,493,42
13,493,77
13,537,77
13,537,42
14,520,78
14,493,119
14,493,78
14,520,119
15,493,120
15,493,162
15,534,120
15,534,162
16,493,205
16,520,163
16,520,205
16,493,163
17,533,248
17,493,206
17,493,248
17,533,206
18,535,291
18,535,249
18,493,291
18,493,249
19,534,333
19,534,292
19,493,333
19,493,292
20,493,334
20,493,376
20,520,334
20,520,376
21,493,377
21,493,419
21,520,377
21,520,419
22,493,420
22,493,462
22,520,420
22,520,462
23,520,505
23,493,463
23,493,505
23,520,463
24,520,506
24,493,547
24,520,547
24,493,506
25,493,548
25,493,590
25,520,548
25,520,590
26,520,621
26,474,591
26,474,621
26,520,591
27,492,47
27,465,77
27,492,77
27,465,47
28,492,119
28,465,78
28,465,119
28,492,78
29,492,120
29,465,162
29,492,162
29,465,120
30,465,163
30,465,205
30,492,163
30,492,205
31,492,248
31,465,206
31,465,248
31,492,206
32,492,291
32,492,249
32,465,291
32,465,249
33,492,333
33,465,292
33,465,333
33,492,292
34,492,334
34,465,376
34,492,376
34,465,334
35,492,419
35,492,377
35,465,419
35,465,377
36,465,420
36,465,462
36,492,420
36,492,462
37,465,463
37,465,505
37,492,463
37,492,505
38,492,547
38,465,506
38,465,547
38,492,506
39,492,602
39,465,602
39,492,548
39,465,548
40,422,52
40,422,77
40,464,52
40,464,77
41,464,119
41,437,119
41,464,78
41,437,78
42,437,120
42,437,162
42,464,120
42,464,162
43,437,205
43,464,205
43,437,163
43,464,163
44,464,248
44,437,248
44,464,206
44,437,206
45,437,249
45,437,291
45,464,249
45,464,291
46,464,292
46,437,292
46,437,333
46,464,333
47,464,376
47,464,334
47,437,334
47,437,376
48,464,377
48,437,377
48,437,419
48,464,419
49,437,420
49,437,462
49,464,462
49,464,420
50,464,505
50,464,463
50,437,505
50,437,463
51,464,547
51,464,506
51,437,547
51,437,506
52,437,599
52,464,548
52,464,599
52,437,548
