,,,,,,,,,∑Áœ’µ»º∂,id
112.952246,24.688057,3117.369318,44.26886364,20.22045455,0.51167726,1,0.481376407,0.664351222,1,1
112.965083,24.688057,3069.710227,41.91113636,20.79943182,0.422226251,0.705434721,0.574631646,0.567430873,1,2
112.97792,24.688057,3024.732955,42.09295455,21.38125,0.337808728,0.728150378,0.668344468,0.578101191,1,3
112.862387,24.696527,2997.210227,36.85568182,21.50568182,0.286151516,0.073825884,0.688386565,0.349454655,0,4
112.888061,24.696527,3262.090909,36.26477273,18.49375,0.783304185,0,0.203257985,0.328854056,0,5
112.939409,24.696527,3203.75,43.01818182,19.32045455,0.673804547,0.843744676,0.336414386,0.61798787,1,6
112.952246,24.696527,3148.448864,40.77227273,19.88011364,0.570010238,0.563149526,0.426558067,0.519905944,0,7
112.965083,24.696527,3068.880682,39.35068182,20.79431818,0.420669283,0.385541484,0.573807999,0.460006255,0,8
112.97792,24.696527,3024.732955,41.15886364,21.38125,0.337808728,0.611448691,0.668344468,0.539200629,1,9
112.990757,24.696527,3021.840909,39.67818182,21.55,0.332380668,0.426458061,0.695524847,0.484787859,0,10
113.003594,24.696527,3028.375,40.35295455,21.55056818,0.344644457,0.510761542,0.695616363,0.517007454,0,11
113.016431,24.696527,3028.6875,39.77977273,21.57159091,0.345230986,0.439150434,0.699002471,0.494461297,0,12
112.84955,24.704997,2969.636364,36.40772727,21.90397727,0.234398328,0.017860185,0.752539581,0.334932698,0,13
112.862387,24.704997,2991.653409,36.64318182,21.61647727,0.275721964,0.047276961,0.706232269,0.343077064,0,14
112.875224,24.704997,3117.068182,36.54454545,20.07897727,0.511112059,0.034953717,0.458588817,0.334884864,0,15
112.888061,24.704997,3225.693182,36.5625,18.9125,0.714989549,0.037196888,0.270705592,0.34096401,0,16
112.900898,24.704997,3377.545455,37.10227273,17.23181818,1,0.104633994,0,0.368211331,0,17
112.913735,24.704997,3325.261364,37.85522727,17.84431818,0.901868362,0.198705208,0.098654709,0.399742759,0,18
112.926572,24.704997,3253.960227,38.47590909,18.73636364,0.768043766,0.276250781,0.242335499,0.428876682,0,19
112.939409,24.704997,3216.960227,41.79886364,19.15568182,0.698598729,0.691407803,0.309874622,0.566627051,1,20
112.952246,24.704997,3154.880682,40.57704545,19.82840909,0.582082071,0.538758589,0.418230072,0.513023578,0,21
112.965083,24.704997,3094.079545,39.9025,20.58806818,0.467964851,0.454483503,0.540587535,0.48767863,0,22
112.97792,24.704997,3046.619318,40.41454545,21.17159091,0.378887088,0.518456471,0.634574906,0.510639488,0,23
112.990757,24.704997,3037.022727,37.85909091,21.38806818,0.360875315,0.199187915,0.669442665,0.409835298,0,24
113.003594,24.704997,3028.375,40.22136364,21.55056818,0.344644457,0.494321086,0.695616363,0.511527302,0,25
113.016431,24.704997,3028.6875,40.91454545,21.57159091,0.345230986,0.580924527,0.699002471,0.541719328,1,26
112.84955,24.713467,3004.244318,37.70704545,21.51534091,0.299353752,0.180191947,0.689942345,0.389829348,0,27
112.862387,24.713467,3075.642045,36.99090909,20.70738636,0.433359638,0.090720654,0.559805985,0.361295426,0,28
112.875224,24.713467,3248.244318,36.88477273,18.74147727,0.757315617,0.07746039,0.243159147,0.359311718,0,29
112.888061,24.713467,3308.846591,37.58522727,18.02329545,0.871059591,0.164972457,0.127482383,0.387838144,0,30
112.900898,24.713467,3370.244318,37.93409091,17.30227273,0.986296549,0.208558124,0.011348037,0.40206757,0,31
112.913735,24.713467,3314.630682,37.74045455,17.95284091,0.88191571,0.184365949,0.116134346,0.394138669,0,32
112.926572,24.713467,3260.954545,40.72340909,18.63522727,0.781171352,0.557044693,0.226045575,0.52142054,0,33
112.939409,24.713467,3222.715909,40.70659091,19.09886364,0.709401527,0.554943495,0.30072298,0.521689334,0,34
112.952246,24.713467,3164.732955,41.37022727,19.75227273,0.600573732,0.637855642,0.405966871,0.548132082,1,35
112.965083,24.713467,3104.073864,40.70545455,20.51647727,0.486723116,0.554801522,0.529056466,0.523527034,0,36
