region_id,depot_id,task_row,task_col
1,4,561,404
2,4,564,441
3,4,564,486
4,3,530,97
5,3,530,184
6,4,533,352
7,4,534,398
8,4,534,441
9,4,534,484
10,4,540,526
11,4,537,569
12,4,538,610
13,1,515,60
14,3,506,98
15,3,514,141
16,3,506,184
17,3,513,227
18,3,514,270
19,3,514,312
20,4,506,355
21,4,506,398
22,4,506,441
23,4,506,484
24,4,506,526
25,4,506,569
26,4,497,606
27,1,478,62
28,1,478,98
29,3,478,141
30,3,478,184
31,3,478,227
32,3,478,270
33,3,478,312
34,4,478,355
35,4,478,398
36,4,478,441
37,4,478,484
38,4,478,526
39,4,478,575
40,1,443,64
41,1,450,98
42,3,450,141
43,3,450,184
44,3,450,227
45,3,450,270
46,3,450,312
47,4,450,355
48,4,450,398
49,4,450,441
50,4,450,484
51,4,450,526
52,4,450,574
53,1,422,94
54,1,422,141
55,3,422,184
56,3,422,227
57,3,422,270
58,3,422,312
59,4,422,355
60,4,422,398
61,4,422,441
62,4,422,484
63,4,422,526
64,4,422,572
65,1,400,64
66,1,394,98
67,1,394,141
68,3,394,184
69,3,394,227
70,3,394,270
71,3,394,312
72,4,394,355
73,4,394,398
74,4,394,441
75,4,394,484
76,4,387,526
77,4,398,564
78,1,366,64
79,1,366,98
80,1,366,141
81,3,366,184
82,3,366,227
83,3,366,270
84,4,366,312
85,4,366,355
86,4,366,398
87,4,366,441
88,4,366,488
89,1,338,58
90,1,338,98
91,1,338,141
92,1,338,184
93,3,338,227
94,3,338,270
95,4,338,312
96,4,338,355
97,4,338,398
98,4,338,441
99,4,338,488
100,5,309,52
101,5,309,98
102,5,309,141
103,5,309,184
104,5,309,227
105,5,309,270
106,6,309,312
107,6,309,355
108,6,309,398
109,6,309,441
110,6,309,488
111,5,286,19
112,5,280,56
113,5,280,98
114,5,280,141
115,5,280,184
116,5,280,227
117,5,280,270
118,2,280,312
119,6,280,355
120,6,280,398
121,6,280,441
122,6,280,486
123,5,242,18
124,5,252,56
125,5,252,98
126,5,252,141
127,5,252,184
128,5,252,227
129,2,252,270
130,2,252,312
131,6,252,355
132,6,252,398
133,6,252,441
134,6,252,486
135,5,224,48
136,5,224,98
137,5,224,141
138,5,224,184
139,5,224,227
140,2,224,270
141,2,224,312
142,2,224,355
143,6,224,398
144,6,224,441
145,6,224,485
146,5,192,50
147,5,192,98
148,5,196,141
149,5,196,184
150,5,196,227
151,2,196,270
152,2,196,312
153,2,196,355
154,2,196,398
155,6,196,441
156,6,196,484
157,5,168,138
158,5,168,184
159,2,168,227
160,2,168,270
161,2,168,312
162,2,168,355
163,2,168,398
164,6,168,441
165,6,158,482
166,5,140,142
167,5,140,184
168,2,140,227
169,2,140,270
170,2,140,312
171,2,140,355
172,2,140,398
173,2,140,446
174,5,102,151
175,5,112,184
176,2,112,227
177,2,112,270
178,2,109,312
179,2,112,355
180,2,112,398
181,2,112,443
182,2,83,178
183,2,76,227
184,2,78,274
185,2,54,185
186,2,20,184
